top - 18:18:55 up 18 min,  2 users,  load average: 0.43, 0.30, 0.25
Tasks: 233 total,   1 running, 166 sleeping,   0 stopped,   0 zombie
%Cpu(s):  2.4 us,  0.7 sy,  0.1 ni, 96.7 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  7985248 total,  4665428 free,  1542396 used,  1777424 buff/cache
KiB Swap:     1020 total,     1020 free,        0 used.  6036668 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 6698 bp0017    20   0   41776   3764   3172 R  13.3  0.0   0:00.02 top
 3874 bp0017    20   0 2079760 361736 154936 S   6.7  4.5   0:25.80 firefox
 4075 bp0017    20   0 1624952 157524  84464 S   6.7  2.0   0:03.82 WebExtensi+
 1162 bp0017    20   0   76996   7956   6564 S   0.0  0.1   0:00.04 systemd
 1163 bp0017    20   0  111952   2632     16 S   0.0  0.0   0:00.00 (sd-pam)
 1179 bp0017    20   0  281252   7832   6884 S   0.0  0.1   0:00.02 gnome-keyr+
 1182 bp0017    20   0    4628   1656   1560 S   0.0  0.0   0:00.01 sh
 1197 bp0017    20   0   50592   4956   3736 S   0.0  0.1   0:00.39 dbus-daemon
 1264 bp0017    20   0   11304    320      0 S   0.0  0.0   0:00.00 ssh-agent
 1282 bp0017    20   0  334100  14864  12972 S   0.0  0.2   0:00.03 xfce4-sess+
 1286 bp0017    20   0   59376   5352   4684 S   0.0  0.1   0:00.02 xfconfd
 1293 bp0017    20   0  191552  26240  19172 S   0.0  0.3   0:06.51 xfwm4
 1297 bp0017    20   0  406472  29164  22540 S   0.0  0.4   0:01.65 xfce4-panel
 1299 bp0017    20   0  557644  35112  27204 S   0.0  0.4   0:01.35 Thunar
 1301 bp0017    20   0  579832  53460  33800 S   0.0  0.7   0:01.05 xfdesktop
 1302 bp0017    20   0  648004  37476  27904 S   0.0  0.5   0:04.62 plank
 1303 bp0017    20   0    4628    808    744 S   0.0  0.0   0:00.00 ruby.sh
 1305 bp0017    20   0  645384  54812  31736 S   0.0  0.7   0:01.19 guake
 1309 bp0017    20   0  381920  17212  14376 S   0.0  0.2   0:00.41 xfsettingsd
 1316 bp0017    20   0   56080  11056   5212 S   0.0  0.1   0:00.07 ruby
 1326 bp0017    20   0  591580  13380  11444 S   0.0  0.2   0:00.01 xfce4-volu+
 1329 bp0017    20   0  398808  21068  15936 S   0.0  0.3   0:00.15 light-lock+
 1331 bp0017    20   0  349220   6380   5676 S   0.0  0.1   0:00.00 at-spi-bus+
 1339 bp0017    20   0   49924   4216   3752 S   0.0  0.1   0:00.19 dbus-daemon
 1340 bp0017    20   0  322540  19812  14780 S   0.0  0.2   0:00.14 polkit-gno+
 1345 bp0017    20   0  220772   6804   6088 S   0.0  0.1   0:00.71 at-spi2-re+
 1347 bp0017    20   0  188032   5264   4508 S   0.0  0.1   0:00.15 dconf-serv+
 1348 bp0017    20   0  284852   7144   6252 S   0.0  0.1   0:00.01 gvfsd
 1359 bp0017    20   0  416112   5272   4728 S   0.0  0.1   0:00.00 gvfsd-fuse
 1363 bp0017    20   0  254192  32576  15516 S   0.0  0.4   0:00.49 applet.py
