top - 15:01:17 up 1 day,  2:26,  2 users,  load average: 0.07, 0.22, 0.24
Tasks: 249 total,   3 running, 179 sleeping,   0 stopped,   0 zombie
%Cpu(s): 12.5 us,  4.2 sy,  0.0 ni, 82.9 id,  0.1 wa,  0.0 hi,  0.2 si,  0.0 st
KiB Mem :  7985248 total,   387928 free,  2448984 used,  5148336 buff/cache
KiB Swap:     1020 total,     1020 free,        0 used.  5041244 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 3638 bp0017    20   0  581484  45784  29796 D  93.3  0.6   0:36.21 xfce4-term+
10907 bp0017    20   0    4508    720    656 R  66.7  0.0   0:00.10 for
 1331 bp0017    20   0 1949660  11896   8628 S   6.7  0.1   1:29.26 pulseaudio
10908 bp0017    20   0   41776   3760   3124 R   6.7  0.0   0:00.01 top
  302 bp0017    20   0   22828   5436   3600 S   0.0  0.1   0:00.30 bash
  331 bp0017    20   0 98.837g 147612  69316 S   0.0  1.8   0:05.67 atril
  361 bp0017    20   0  187764   4272   3904 S   0.0  0.1   0:00.00 atrild
  373 bp0017    20   0 81.920g  32688  27408 S   0.0  0.4   0:00.04 WebKitNetw+
  570 bp0017    20   0  145440   6292   5160 S   0.0  0.1   0:00.01 oosplash
  602 bp0017    20   0 1526208 190248 122392 S   0.0  2.4   0:18.85 soffice.bin
 1133 bp0017    20   0   77024   8184   6792 S   0.0  0.1   0:00.11 systemd
 1134 bp0017    20   0  112040   2660     28 S   0.0  0.0   0:00.00 (sd-pam)
 1148 bp0017    20   0  281248   7756   6796 S   0.0  0.1   0:00.08 gnome-keyr+
 1153 bp0017    20   0    4628   1700   1604 S   0.0  0.0   0:00.02 sh
 1168 bp0017    20   0   50812   5116   3660 S   0.0  0.1   0:01.29 dbus-daemon
 1235 bp0017    20   0   11304    320      0 S   0.0  0.0   0:00.03 ssh-agent
 1253 bp0017    20   0  403464  35916  23124 S   0.0  0.4   0:00.32 xfce4-sess+
 1257 bp0017    20   0   59376   5312   4616 S   0.0  0.1   0:00.11 xfconfd
 1264 bp0017    20   0  191920  26304  18736 S   0.0  0.3   0:26.25 xfwm4
 1268 bp0017    20   0  408820  29592  22688 S   0.0  0.4   0:05.70 xfce4-panel
 1272 bp0017    20   0  579828 102604  34232 S   0.0  1.3  25:00.45 xfdesktop
 1273 bp0017    20   0  647812  37396  28048 S   0.0  0.5   0:10.27 plank
 1274 bp0017    20   0    4628    780    712 S   0.0  0.0   0:00.00 ruby.sh
